heat_id,timestamp,shift,operator_id,furnace_id,mold_line_id,pattern_id,pattern_age_cycles,season,ambient_temp_C,ambient_humidity_pct,sand_moisture_pct,mold_hardness_B,mold_temp_C,binder_pct,mold_permeability,C_pct,Si_pct,Mn_pct,S_pct,P_pct,Cr_pct,carbon_equivalent,mn_s_ratio_ok,pour_temp_C,superheat_C,pour_rate_kg_per_s,pour_delay_min,cooling_rate_C_per_min,fade_time_min,inoculant_dose_pct,core_moisture_pct,furnace_temp_drift_C,bore_diameter_mm,deck_height_mm,wall_thickness_mm,surface_roughness_Ra_um,defect_class,severity,disposition,customer_complaint,yield_pct,casting_weight_kg,warranty_risk_score,oem_customer
H-2025-00001,2025-01-01 00:00:00,C,OP-308,F1,ML-1,PT-C,700,Winter,19.8,43.1,2.8,82.1,35.9,1.79,135.2,3.41,2.209,0.639,0.077,0.092,0.027,4.177,True,1412.9,232.9,7.63,5.56,13.48,2.2,0.148,2.3,6.6,89.4815,219.9905,4.5173,6.13,None,None,OK,False,96.74,215.84,3.64,OEM-TATA
H-2025-00002,2025-01-01 04:32:00,C,OP-308,F2,ML-2,PT-A,100,Winter,22.5,49.1,2.5,85.5,35.0,1.9,105.9,3.451,2.107,0.516,0.082,0.05,0.013,4.17,True,1399.4,219.4,6.1,0.09,11.42,7.1,0.122,2.64,2.9,89.4997,219.972,4.4661,5.74,None,None,OK,False,97.97,213.16,0.53,OEM-TATA
H-2025-00003,2025-01-01 04:58:00,C,OP-308,F1,ML-1,PT-C,701,Winter,17.7,51.2,2.67,85.7,32.4,2.27,136.6,3.465,2.143,0.692,0.098,0.055,0.014,4.198,True,1426.5,246.5,6.29,2.8,7.31,4.4,0.244,3.16,7.6,89.4958,219.9671,4.5233,3.65,None,None,OK,False,97.23,219.47,0.84,OEM-TATA
H-2025-00004,2025-01-01 09:21:00,A,OP-104,F2,ML-1,PT-B,400,Winter,22.8,41.0,2.71,89.5,31.6,1.94,95.7,3.368,1.999,0.588,0.078,0.076,0.011,4.06,True,1425.6,245.6,6.79,0.98,10.61,1.5,0.179,2.0,2.3,89.5173,219.9869,4.5361,4.63,None,None,OK,False,98.67,213.52,2.21,OEM-ASHOK_LEYLAND
H-2025-00005,2025-01-01 10:48:00,A,OP-104,F2,ML-2,PT-C,702,Winter,23.6,44.5,2.57,81.1,40.8,2.06,122.9,3.278,2.091,0.615,0.079,0.097,0.034,4.007,True,1416.2,236.2,6.61,4.0,10.15,3.6,0.226,2.82,2.3,89.4956,220.0226,4.477,3.78,None,None,OK,False,97.9,217.28,2.22,OEM-TATA
H-2025-00006,2025-01-01 10:55:00,A,OP-104,F1,ML-2,PT-B,401,Winter,17.7,58.4,2.79,83.2,27.9,1.77,144.1,3.311,2.112,0.699,0.09,0.068,0.044,4.038,True,1437.0,257.0,6.52,4.53,11.62,0.7,0.22,2.88,10.4,89.5169,220.0015,4.4897,6.43,None,None,OK,False,96.75,218.19,2.9,OEM-TATA
H-2025-00007,2025-01-01 13:26:00,A,OP-104,F2,ML-1,PT-B,402,Winter,17.9,57.6,2.5,86.3,33.1,1.95,133.9,3.369,2.121,0.574,0.071,0.05,0.006,4.092,True,1430.3,250.3,7.91,0.67,9.81,0.3,0.23,3.11,2.6,89.5166,219.9911,4.5168,6.49,None,None,OK,False,98.25,214.65,1.68,OEM-TATA
H-2025-00008,2025-01-01 13:32:00,A,OP-104,F1,ML-2,PT-A,101,Winter,23.7,46.4,2.99,88.0,39.7,1.65,120.3,3.348,2.375,0.687,0.094,0.092,0.087,4.17,True,1410.9,230.9,8.35,2.26,9.59,2.2,0.18,2.83,8.1,89.5277,220.0267,4.5511,5.33,None,None,OK,False,99.0,218.04,4.71,OEM-TATA
H-2025-00009,2025-01-01 14:32:00,B,OP-217,F1,ML-2,PT-A,102,Winter,19.5,57.4,2.81,78.1,37.2,1.87,143.4,3.249,2.146,0.55,0.079,0.05,0.006,3.98,True,1407.3,227.3,5.93,1.08,12.79,3.8,0.224,2.57,7.0,89.466,220.0056,4.517,5.27,Surface_Defects,Minor_Rework,Rework,False,96.95,215.28,4.11,OEM-TATA
H-2025-00010,2025-01-01 14:33:00,B,OP-217,F1,ML-1,PT-A,103,Winter,22.7,52.7,3.03,77.7,38.9,1.95,109.2,3.148,2.301,0.637,0.071,0.067,0.018,3.937,True,1417.4,237.4,6.97,0.3,11.56,9.2,0.267,2.67,9.2,89.5039,219.9909,4.4826,5.91,None,None,OK,False,98.73,214.12,1.05,OEM-TATA
H-2025-00011,2025-01-01 20:13:00,B,OP-217,F2,ML-2,PT-B,403,Winter,22.7,59.6,3.16,82.9,38.9,2.1,125.0,3.283,2.398,0.639,0.06,0.09,0.003,4.113,True,1366.3,186.3,8.18,1.13,8.74,10.5,0.206,2.38,1.6,89.5184,219.9761,4.4863,5.89,Cold_Shut,Scrap,Scrap,False,89.71,212.79,6.22,OEM-ASHOK_LEYLAND
H-2025-00012,2025-01-01 23:42:00,C,OP-308,F2,ML-1,PT-C,703,Winter,18.5,59.3,3.37,83.1,33.5,1.92,116.8,3.317,2.318,0.504,0.068,0.09,0.012,4.119,True,1406.3,226.3,8.29,1.93,13.15,7.8,0.243,2.64,-0.3,89.5051,219.9825,4.5102,6.68,None,None,OK,False,96.79,216.99,2.27,OEM-ASHOK_LEYLAND
H-2025-00013,2025-01-02 02:27:00,C,OP-308,F2,ML-1,PT-A,104,Winter,17.4,52.3,2.73,80.9,31.2,1.94,121.3,3.387,2.106,0.589,0.082,0.05,0.002,4.106,True,1404.5,224.5,7.21,0.05,12.29,5.9,0.185,2.67,1.7,89.5003,220.0268,4.5022,6.43,None,None,OK,False,98.21,212.32,0.53,OEM-TATA
H-2025-00014,2025-01-02 02:57:00,C,OP-308,F2,ML-1,PT-A,105,Winter,18.9,49.4,2.61,78.6,27.4,1.81,132.5,3.301,2.255,0.671,0.084,0.092,0.054,4.083,True,1395.3,215.3,7.06,0.7,8.55,5.8,0.191,2.69,2.3,89.5062,219.9955,4.4996,5.64,None,None,OK,False,97.6,216.11,2.69,OEM-TATA
H-2025-00015,2025-01-02 03:34:00,C,OP-308,F1,ML-1,PT-B,404,Winter,20.7,42.8,2.5,79.9,38.5,1.93,122.5,3.32,2.126,0.559,0.081,0.101,0.039,4.062,True,1415.6,235.6,8.87,0.41,11.3,7.4,0.252,2.71,6.8,89.4902,219.9697,4.4601,5.24,None,None,OK,False,98.9,215.58,2.78,OEM-TATA
H-2025-00016,2025-01-02 03:35:00,C,OP-308,F2,ML-1,PT-A,106,Winter,20.0,50.6,2.58,84.8,32.5,2.06,107.9,3.363,2.091,0.596,0.063,0.088,0.007,4.09,True,1391.6,211.6,8.74,1.52,13.08,0.9,0.18,3.07,1.8,89.522,219.9924,4.5064,4.89,None,None,OK,False,96.86,212.57,3.71,OEM-TATA
H-2025-00017,2025-01-02 04:25:00,C,OP-308,F2,ML-2,PT-A,107,Winter,21.9,48.0,2.82,86.3,37.9,1.56,81.9,3.538,2.135,0.509,0.082,0.072,0.039,4.274,True,1381.9,201.9,8.85,3.08,8.88,19.2,0.183,2.46,1.9,89.4987,220.0051,4.5156,5.87,None,None,OK,False,96.42,215.39,1.86,OEM-MAHINDRA
H-2025-00018,2025-01-02 10:06:00,A,OP-104,F1,ML-1,PT-A,108,Winter,20.4,52.9,2.54,88.1,32.2,2.08,138.3,3.33,2.213,0.515,0.062,0.085,0.01,4.096,True,1389.2,209.2,7.31,2.5,12.07,0.6,0.18,2.99,7.9,89.4954,219.9991,4.4815,4.78,None,None,OK,False,96.8,211.21,2.09,OEM-TATA
H-2025-00019,2025-01-02 11:06:00,A,OP-104,F1,ML-2,PT-B,405,Winter,22.4,41.8,2.66,82.1,35.0,1.89,131.5,3.164,2.226,0.594,0.066,0.063,0.021,3.927,True,1399.1,219.1,7.3,1.42,8.84,9.3,0.164,2.55,9.9,89.4683,220.0245,4.5162,5.33,None,None,OK,False,98.09,213.64,3.28,OEM-TATA
